Part,Color,Quantity
3004,0,9
3003,0,3
3185,0,2
970c00,0,2
3843,0,1
3023,0,6
3022,0,6
3020,0,9
3039,0,9
3665,0,24
3660,0,6
56823c50,0,1
3069b,0,3
973c18,0,2
970c00,1,8
973c07,1,8
3857,2,1
3865,2,4
3848,7,5
3844,7,10
3842a,7,4
3843,7,1
3849,7,4
3846,7,9
3847a,7,5
3840,7,14
3024,7,8
3023,7,4
3623,7,2
3710,7,4
3022,7,4
3021,7,6
3020,7,2
3795,7,8
3034,7,2
3032,7,6
3673,7,2
3005,4,2
3644,4,2
3633,4,2
970c00,4,2
3843,4,1
3023,4,1
3623,4,6
3036,4,1
3176,4,2
3040b,4,2
3700,4,2
973c02,4,2
3087c,4,6
3004,15,3
3003,15,1
3596,15,1
970c00,15,2
3843,15,1
3023,15,2
3022,15,2
3020,15,3
3039,15,3
3660,15,2
3069b,15,1
973c01,15,2
3005,14,71
3004,14,183
3622,14,62
3010,14,30
3009,14,29
3008,14,15
3003,14,12
3002a,14,12
3659,14,3
3307,14,8
3308,14,6
3062a,14,6
3581,14,2
3831,14,8
3830,14,8
3626apr0001,14,14
3460,14,2
3022,14,6
3032,14,2
3685,14,4
3684,14,6
3665,14,8
3660,14,12
73037,14,1
3700,14,3
3069b,14,3
